variant,sharpe,ann,vol,maxdd,pos_yrs,frac_on
A reversal q1.25%,0.7086940461470815,2.9458633812826758,4.156749160372225,-4.957269827456434,8/10,0.9988071570576541
A reversal q1%,0.6846390958314884,2.5082455530851258,3.66360257302993,-4.311321656504541,7/10,0.9821073558648111
C rev1% short-veto flow>0.7,0.6514661185020769,1.9657253625606548,3.0173869472758903,-4.430040790496448,7/10,0.8675944333996024
B rev1% gate top80% gapdisp,0.6343250735520457,2.278007271101151,3.591230058658943,-4.446571082323459,7/10,0.8143141153081511
B rev1% gate top40% predspread,0.6164555545158683,1.1930628646567973,1.9353590959104359,-2.4962342472941934,7/10,0.23737574552683896
B rev1% gate top80% predspread,0.6116829657631458,1.77224441850179,2.8973251139840204,-4.280711862769748,8/10,0.5737574552683896
"B rev1% + voltarget(5%,63d)",0.6089599112831909,2.8738289013716,4.719241526615295,-5.62628945178213,7/10,0.9821073558648111
A reversal q1.5%,0.5886069798386357,2.6599616083024418,4.519079282803713,-5.609819299241192,8/10,0.9996023856858847
C rev1% short-veto flow>0.5,0.5825585378340015,1.5397291008745118,2.643046150519647,-5.052259480764398,7/10,0.6353876739562624
A reversal q0.75%,0.5748072519950213,1.8470673887969322,3.2133682767331035,-4.74075268226991,7/10,0.8974155069582505
B rev1% gate top60% gapdisp,0.45768176871726424,1.4855804485736697,3.2458807628218995,-6.113743683412897,7/10,0.6620278330019881
A reversal q2%,0.3780910888055894,1.8914050171248193,5.002511492931168,-6.930476676740671,8/10,1.0
A reversal q0.5%,0.3771801722388669,0.9797604140967604,2.597592573016488,-5.764439586378978,8/10,0.38687872763419484
B rev1% gate top60% predspread,0.2606475062588019,0.6281479678873898,2.4099519573522787,-4.8996549675957235,4/10,0.38687872763419484
B rev1% gate top40% gapdisp,0.181552125812927,0.5385517164042557,2.966375160812958,-8.47538927359306,7/10,0.47514910536779326
